"ProductStatus_ID","Title","CreatedBy_ID","CreatedAt","UpdatedBy_ID","UpdatedAt","IsActive"
1,Nieuwe installatie,1,"2024-07-23 13:36:48",1,"2024-07-23 13:36:48",1
2,Storing < 12 maanden,1,"2024-07-23 13:36:48",1,"2024-07-23 13:36:48",1
3,Storing < 24 maanden,1,"2024-07-23 13:36:48",1,"2024-07-23 13:36:48",1
4,Storing > 24 maanden,1,"2024-07-23 13:36:48",1,"2024-07-23 13:36:48",1
